,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,962,8728,0.727,0.848,0.553,0.669,5.807,9690
Dropout 1,5369,4339,966,8707,0.726,0.848,0.553,0.669,5.792,9673
Dropout 2,5368,4339,965,8712,0.726,0.848,0.553,0.669,5.794,9677
Dropout 3,5368,4339,964,8717,0.726,0.848,0.553,0.669,5.807,9681
Dropout 4,5369,4339,976,8702,0.726,0.846,0.553,0.669,5.81,9678
Dropout 5,5368,4339,944,8726,0.727,0.85,0.553,0.67,5.803,9670
Dropout 6,5369,4339,948,8727,0.727,0.85,0.553,0.67,5.809,9675
Dropout 7,5369,4339,975,8703,0.726,0.846,0.553,0.669,5.799,9678
Dropout 8,5369,4339,992,8680,0.725,0.844,0.553,0.668,5.803,9672
Dropout 9,5369,4339,977,8705,0.726,0.846,0.553,0.669,5.821,9682
Dropout 10,5369,4339,943,8734,0.728,0.851,0.553,0.67,5.802,9677
