,TP,FN,FP,TN,Accuracy,Precision,Recall,F1-score,Mean ling. dist.,num. distractors
No dropout,5369,4339,962,8728,0.727,0.848,0.553,0.669,5.807,9690
Dropout 1,5369,4339,953,8695,0.727,0.849,0.553,0.67,5.791,9648
Dropout 2,5369,4339,980,8679,0.725,0.846,0.553,0.669,5.787,9659
Dropout 3,5368,4339,946,8705,0.727,0.85,0.553,0.67,5.807,9651
Dropout 4,5368,4339,953,8700,0.727,0.849,0.553,0.67,5.793,9653
Dropout 5,5367,4337,957,8685,0.726,0.849,0.553,0.67,5.793,9642
Dropout 6,5369,4339,946,8704,0.727,0.85,0.553,0.67,5.796,9650
Dropout 7,5369,4339,946,8709,0.727,0.85,0.553,0.67,5.788,9655
Dropout 8,5369,4339,940,8714,0.727,0.851,0.553,0.67,5.793,9654
Dropout 9,5368,4339,950,8706,0.727,0.85,0.553,0.67,5.792,9656
Dropout 10,5368,4339,997,8667,0.725,0.843,0.553,0.668,5.792,9664
